outer_fold,s1,s2,alpha,inner_r68,inner_sigma_over_mu,inner_fit_p,inner_fit_success
4,qS1ub_C,qS2BC_desImageMCPAF_maxS2,0.49999999999999994,0.0670452210311101,0.05197148676439898,1.5825784766118421e-09,True
4,qS1ub_C,qS2BdesC_desImageMCPAF_maxS2,0.49999999999999994,0.0670777721537422,0.05082331512789407,4.523391852162788e-08,True
4,qS1ub_C,qS2BC_ImageMCPAF_total_stretch_firstS2forMS,0.49999999999999994,0.06749492815482876,0.05201755106335607,3.462951513961113e-09,True
4,qS1ub_C,qS2BC_ImageMCPAF_total_stretch_maxS2forMS,0.49999999999999994,0.06749492815482876,0.05201755106335607,3.462951513961113e-09,True
4,qS1ub_C,qS2BdesC_ImageMCPAF_total_stretch_maxS2forMS,0.49999999999999994,0.06749572622735768,0.05202109590875679,3.795597072293963e-09,True
4,qS1ub_C,qS2BdesC_ImageMCPAF_total_stretch_firstS2forMS,0.49999999999999994,0.06749572622735768,0.05202109590875679,3.795597072293963e-09,True
4,qS1_max,qS2Bdesub_C,0.35,0.06750628615822225,0.056157671823196316,0.00045177484067956074,True
4,qS1_max,qS2Bub_C,0.35,0.06752895128278216,0.056167073597897806,0.00035560828162259996,True
4,qS1ub_C,qS2Bdesub_C,0.39999999999999997,0.06758571458925383,0.05778587683221453,0.10558299065293368,True
4,qS1ub_C,qS2Bub_C,0.39999999999999997,0.06758610558828984,0.057819352184603996,0.11636049023467168,True
4,qS1ub_C,qS2BdesC_desImageMCPAF_maxS2,0.6,0.06775980848700235,0.04888201336366219,6.672399940788416e-12,True
4,qS1ub_C,qS2BC_desImageMCPAF_maxS2,0.6,0.06776014770282962,0.04885757212608803,4.257545053627699e-12,True
